Date,Region,Solar Energy (MW),Wind Energy (MW),Hydro Energy (MW),Temperature (°C),Wind Speed (m/s),Rainfall (mm)
2020-01-01,North,119.0,262.0,359.0,18.685289285566903,3.41383681338237,13.789566234142209
2020-01-02,North,120.0,295.0,453.0,10.735009130570885,7.946865012580118,16.627140163310205
2020-01-03,East,67.0,224.0,343.0,16.31357805745941,5.2752320030180275,49.06031113341303
2020-01-04,West,75.0,280.0,323.0,13.076398305666608,7.458219017997369,36.70580964966185
2020-01-05,North,70.0,160.0,322.0,16.805056582258644,6.584149961299138,24.427357202290118
2020-01-06,East,204.0,160.0,295.0,21.076386434955133,6.414203062104732,25.571427862202967
2020-01-07,East,237.0,224.0,295.0,16.663842133980864,3.6340586401420603,25.428130233967938
2020-01-08,East,71.0,266.0,447.0,24.230830534798542,5.582268820316056,4.788347624392896
2020-01-09,East,83.0,168.0,213.0,34.40029826566486,3.4509590362457505,1.8043136161491447
2020-01-10,West,157.0,134.0,407.0,32.401773420033564,5.57216364503127,2.1556599184633485
2020-01-11,North,83.0,204.0,245.0,23.467684461894024,9.772852601965607,30.209325621416856
2020-01-12,North,87.0,169.0,405.0,24.016663430619204,4.083765321354669,21.465448651716347
2020-01-13,North,80.0,169.0,354.0,25.902964895895625,6.3497835762065336,48.06046061164923
2020-01-14,West,118.0,245.0,210.0,26.25240448136771,3.057533783117628,16.63781773398657
2020-01-15,North,243.0,110.0,259.0,32.78713473346582,5.931045867532611,31.80720288186144
2020-01-16,South,76.0,244.0,303.0,24.688529706285586,8.760615301168475,13.052619706851681
2020-01-17,East,247.0,260.0,441.0,24.481064944317804,3.171728082777327,32.10583843453932
2020-01-18,South,77.0,298.0,210.0,10.990100979694027,3.1029910418079805,18.205606553860388
2020-01-19,East,203.0,262.0,292.0,24.318357032844393,5.0517191156219345,25.6910211078378
2020-01-20,South,182.0,118.0,470.0,25.85332366597339,4.131282053828132,1.0452838222046623
2020-01-21,East,176.0,240.0,296.0,34.311183571878885,8.7225745721943,40.98038605136065
2020-01-22,South,181.0,264.0,213.0,22.74273652995867,9.473276017055811,22.879552340496822
2020-01-23,North,141.0,173.0,213.0,16.88654497842474,3.972531764044644,2.76761887563079
2020-01-24,East,230.0,255.0,213.0,25.49878259473435,7.545252155395362,28.894758486975608
2020-01-25,North,60.0,245.0,273.0,34.20955356471854,6.764388827736197,22.398016164590633
2020-01-26,North,122.0,261.0,266.0,18.479111842524546,8.165067519536965,24.1098472564667
2020-01-27,South,157.0,254.0,247.0,27.968279722184292,9.840123229313939,23.14447011198368
2020-01-28,South,201.0,154.0,247.0,33.20240866885697,8.984019762617889,49.68850529442826
2020-01-29,North,242.0,154.0,307.0,21.55749751218134,6.951638644918064,31.037772655754353
2020-01-30,East,214.0,159.0,330.0,30.560439726624804,7.173584201457392,5.019469707882823
2020-01-31,South,86.0,299.0,342.0,20.14131135107597,9.874839494396772,38.708936167908334
2020-02-01,East,90.0,171.0,209.0,18.66331328869937,3.7191602303638205,42.3992787300188
2020-02-02,West,66.0,112.0,235.0,28.022543393679605,4.2259646490815115,3.155470047135245
2020-02-03,South,186.0,299.0,479.0,18.319102494389927,6.537322361799335,37.22105298872919
2020-02-04,East,161.0,230.0,353.0,24.288654031048495,8.700096291041632,16.518957269721597
2020-02-05,East,96.0,269.0,454.0,33.790491200893086,4.967631043276699,8.803737233413782
2020-02-06,North,142.0,217.0,290.0,28.49418590282618,7.058024606077406,1.2916719631824058
2020-02-07,East,141.0,256.0,449.0,26.495602978718736,7.440556806900157,32.35209682766949
2020-02-08,South,151.0,210.0,320.0,24.84671978377539,7.023556630267859,15.022321629692236
2020-02-09,West,71.0,289.0,466.0,16.528390706350372,8.617980698200014,45.46473441215726
2020-02-10,East,173.0,130.0,267.0,32.46761196681149,3.7474638899391937,44.564969782370916
2020-02-11,East,115.0,129.0,267.0,30.112426839228828,9.649592303289456,43.413188420065346
2020-02-12,North,158.0,233.0,219.0,10.74773933516337,8.180185339695926,20.353660889149882
2020-02-13,East,160.0,142.0,489.0,33.73606295177552,6.45296751412875,26.791845015029715
2020-02-14,West,118.0,226.0,493.0,19.20412037190111,5.214028650247172,16.61089499483377
2020-02-15,North,79.0,112.0,367.0,23.79424643447478,3.1284720711677814,30.804092429854833
2020-02-16,North,209.0,227.0,350.0,16.777735768975308,9.400644802895716,7.853940428250372
2020-02-17,West,142.0,255.0,426.0,32.75807676320716,4.863432160416645,25.48787365129641
2020-02-18,South,191.0,100.0,433.0,20.865791962802923,6.512760650145726,34.67698808494969
2020-02-19,South,236.0,293.0,306.0,17.800567578281967,4.859367231723943,49.00285024402288
2020-02-20,East,187.0,186.0,447.0,19.801725258355887,3.563755957294729,19.872204851315704
2020-02-21,West,101.0,191.0,483.0,29.814100962431805,7.0720953069680705,16.774637129506264
2020-02-22,North,223.0,187.0,470.0,11.994442521878344,8.118330829904531,20.447836707666912
2020-02-23,West,104.0,186.0,383.0,20.592491864871462,9.831021967419915,25.169446830750807
2020-02-24,South,80.0,107.0,286.0,26.1466093536506,7.049491474181236,35.0377399393272
2020-02-25,North,162.0,184.0,225.0,33.27351462568088,8.18144208709444,40.31955323592467
2020-02-26,North,220.0,202.0,225.0,30.103783372503877,5.246832979216338,14.17797774393853
2020-02-27,West,134.0,259.0,498.0,19.70763992902859,4.4737565940678685,28.62016725948948
2020-02-28,South,127.0,160.0,382.0,28.200793296091998,6.048375939109247,3.24837434879211
2020-02-29,West,127.0,160.0,415.0,15.832062524590675,4.562011655877018,47.88980250957436
2020-03-01,North,141.0,263.0,486.0,17.983187066747604,7.083227730198619,11.023648506159839
2020-03-02,East,172.0,152.0,486.0,30.822182404732075,6.317016589981243,49.8590274669984
2020-03-03,South,212.0,175.0,237.0,31.08146499186128,3.6649985436345824,30.231325922784986
2020-03-04,East,72.0,285.0,227.0,29.542131155821927,3.6228817900734596,18.984150744548444
2020-03-05,North,111.0,189.0,350.0,22.9241541821934,5.523442766129178,49.42939517605716
2020-03-06,South,211.0,103.0,328.0,26.687112191739686,5.371448896329262,41.09414218151493
2020-03-07,East,104.0,115.0,377.0,32.01895944189978,9.133347691860664,22.815476444791837
2020-03-08,South,61.0,258.0,258.0,23.495320225385363,5.017858285459434,24.32377411247891
2020-03-09,North,101.0,174.0,278.0,26.660278894910086,5.159166744749853,9.419207986853545
2020-03-10,East,79.0,203.0,218.0,18.3810161681551,9.252352757255155,31.269849945270884
2020-03-11,West,246.0,173.0,412.0,19.446246725945947,4.127305338212755,3.697408663194124
2020-03-12,West,183.0,233.0,392.0,19.641443031914093,9.926813549857854,20.07840955527672
2020-03-13,West,195.0,289.0,313.0,26.44177949509404,8.614578074210574,31.947115514611095
2020-03-14,North,177.0,163.0,248.0,34.30035420246196,8.517587380553058,2.9016686283109605
2020-03-15,East,99.0,118.0,225.0,19.348262042845263,8.470121181748986,3.5344192796845197
2020-03-16,East,186.0,239.0,300.0,11.257467488140762,8.838743096433525,2.6797127909929497
2020-03-17,North,90.0,155.0,310.0,16.677563210541464,4.104314179325544,33.37896620652507
2020-03-18,East,144.0,271.0,395.0,34.383622666336215,7.891756422316243,46.730664080091096
2020-03-19,East,57.0,255.0,331.0,16.568760269446027,4.983484234744081,6.11633878257622
2020-03-20,East,234.0,141.0,240.0,16.155784123455334,7.0541717049412815,43.892224181427544
2020-03-21,South,196.0,141.0,425.0,34.45184177011203,7.379877602847805,47.82317369351941
2020-03-22,West,98.0,279.0,249.0,16.859729050168443,9.512588694389663,41.9063627480001
2020-03-23,West,163.0,215.0,414.0,32.1272671940133,3.863463322988402,47.99891226089118
2020-03-24,West,201.0,197.0,488.0,14.930637822243117,9.137270654320588,34.92963337447387
2020-03-25,South,50.0,289.0,357.0,27.283399816044962,4.8142857403466355,42.76438107023617
2020-03-26,East,127.0,194.0,354.0,20.962414779040813,8.451172523195375,32.092093763860795
2020-03-27,South,83.0,187.0,297.0,30.837428091320152,7.420106999293438,30.828062082027262
2020-03-28,West,160.0,208.0,388.0,20.49590385899345,6.419608316547665,29.503656550531066
